geoid,name,state,japanese_pop,total_pop,japanese_pct
17031805600,"Cook County (8056)","Illinois",47,4655,1.01
17031803702,"Cook County (8037.02)","Illinois",41,6098,0.67
17031803008,"Cook County (8030.08)","Illinois",34,4720,0.72
17031804716,"Cook County (8047.16)","Illinois",8,4511,0.18
17031770800,"Cook County (7708)","Illinois",0,5836,0
17031380200,"Cook County (3802)","Illinois",0,1689,0
17031801701,"Cook County (8017.01)","Illinois",0,3469,0
17031800100,"Cook County (8001)","Illinois",0,2354,0
17031230500,"Cook County (2305)","Illinois",0,3673,0
17031210601,"Cook County (2106.01)","Illinois",14,2429,0.58
17031242700,"Cook County (2427)","Illinois",3,1880,0.16
17031242400,"Cook County (2424)","Illinois",22,3084,0.71
17031241500,"Cook County (2415)","Illinois",45,2769,1.63
17031241200,"Cook County (2412)","Illinois",7,1692,0.41
17031061500,"Cook County (615)","Illinois",60,1811,3.31
17031061000,"Cook County (610)","Illinois",9,2284,0.39
17031050600,"Cook County (506)","Illinois",0,2375,0
17031040600,"Cook County (406)","Illinois",13,2521,0.52
17031030800,"Cook County (308)","Illinois",66,4610,1.43
17031020601,"Cook County (206.01)","Illinois",0,6275,0
17031191200,"Cook County (1912)","Illinois",0,3836,0
17031161100,"Cook County (1611)","Illinois",0,2098,0
17031151100,"Cook County (1511)","Illinois",0,5408,0
17031140701,"Cook County (1407.01)","Illinois",0,2870,0
17031110300,"Cook County (1103)","Illinois",0,5183,0
17031090100,"Cook County (901)","Illinois",13,3567,0.36
17031080400,"Cook County (804)","Illinois",0,5415,0
17031071300,"Cook County (713)","Illinois",18,4123,0.44
17031070400,"Cook County (704)","Illinois",0,3433,0
17043840102,"DuPage County (8401.02)","Illinois",0,4296,0
17043841315,"DuPage County (8413.15)","Illinois",0,2620,0
17043841104,"DuPage County (8411.04)","Illinois",0,4135,0
17043845601,"DuPage County (8456.01)","Illinois",0,4638,0
17043845810,"DuPage County (8458.10)","Illinois",0,4385,0
17043844701,"DuPage County (8447.01)","Illinois",0,4215,0
17043844002,"DuPage County (8440.02)","Illinois",0,4127,0
17067953700,"Hancock County (9537)","Illinois",0,2094,0
21237930100,"Wolfe County (9301)","Kentucky",0,2735,0
23017966300,"Oxford County (9663)","Maine",0,3508,0
37035010201,"Catawba County (102.01)","North Carolina",0,4589,0
25001012700,"Barnstable County (127)","Massachusetts",0,4952,0
25001013700,"Barnstable County (137)","Massachusetts",0,4304,0
25001012001,"Barnstable County (120.01)","Massachusetts",0,6216,0
27003051002,"Anoka County (510.02)","Minnesota",22,3784,0.58
27003050217,"Anoka County (502.17)","Minnesota",16,3391,0.47
27003050208,"Anoka County (502.08)","Minnesota",0,3181,0
27003051600,"Anoka County (516)","Minnesota",0,5235,0
23005000100,"Cumberland County (1)","Maine",0,2417,0
23005001100,"Cumberland County (11)","Maine",0,2454,0
27013170700,"Blue Earth County (1707)","Minnesota",0,2666,0
27013171101,"Blue Earth County (1711.01)","Minnesota",10,6061,0.16
23031033000,"York County (330)","Maine",0,5129,0
48145000800,"Falls County (8)","Texas",116,3877,2.99
21031930500,"Butler County (9305)","Kentucky",0,1085,0
